Datum;Hamburg;Schleswig;Leck;SPO
202001010000;0;0;0;0
202001010010;0;0;0;0
202001010020;0;0;0;0
202001010030;0;0;0;0
202001010040;0;0;0;0
202001010050;0;0;0;0
202001010100;0;0;0;0
202001010110;0;0;0;0
202001010120;0;0;0;0
202001010130;0;0;0;0
202001010140;0;0;0;0
202001010150;0;0;0;0
202001010200;0;0;0;0
202001010210;0;0;0;0
202001010220;0;0;0;0
202001010230;0;0;0;0
202001010240;0;0;0;0
202001010250;0;0;0;0
202001010300;0;0;0;0
202001010310;0;0;0;0
202001010320;0;0;0;0
202001010330;0;0;0;0
202001010340;0;0;0;0
202001010350;0;0;0;0
202001010400;0;0;0;0
202001010410;0;0;0;0
202001010420;0;0;0;0
202001010430;0;0;0;0
202001010440;0;0;0;0
202001010450;0;0;0;0
202001010500;0;0;0;0
202001010510;0;0;0;0
202001010520;0;0;0;0
202001010530;0;0;0;0
202001010540;0;0;0;0
202001010550;0;0;0;0
202001010600;0;0;0;0
202001010610;0;0;0;0
202001010620;0;0;0;0
202001010630;0;0;0;0
202001010640;0;0;0;0
202001010650;0;0;0;0
202001010700;0;0;0;0
202001010710;0;0;0;0
202001010720;0;0;0;0
202001010730;1.7;1.7;0;0
202001010740;3.3;1.7;0;1.7
202001010750;6.7;3.3;0;1.7
202001010800;11.7;6.7;1.7;5
202001010810;18.3;10;5;8.3
202001010820;25;15;10;13.3
202001010830;28.3;20;15;20
202001010840;33.3;25;20;28.3
202001010850;41.7;30;25;31.7
202001010900;48.3;33.3;30;25
202001010910;60;35;35;28.3
202001010920;61.7;41.7;40;28.3
202001010930;66.7;51.7;48.3;40
202001010940;98.3;65;56.7;46.7
202001010950;161.7;71.7;75;45
202001011000;180;81.7;83.3;40
202001011010;180;83.3;80;46.7
202001011020;163.3;86.7;95;56.7
202001011030;158.3;88.3;93.3;63.3
202001011040;153.3;83.3;90;63.3
202001011050;138.3;90;100;65
202001011100;121.7;90;108.3;66.7
202001011110;116.7;101.7;106.7;56.7
202001011120;125;103.3;93.3;61.7
202001011130;193.3;106.7;85;53.3
202001011140;210;98.3;96.7;46.7
202001011150;210;180;86.7;45
202001011200;203.3;120;71.7;51.7
202001011210;203.3;70;40;65
202001011220;196.7;73.3;35;68.3
202001011230;190;118.3;38.3;61.7
202001011240;180;101.7;35;58.3
202001011250;166.7;63.3;25;48.3
202001011300;136.7;58.3;26.7;45
202001011310;86.7;55;23.3;41.7
202001011320;86.7;43.3;21.7;35
202001011330;66.7;35;16.7;30
202001011340;60;36.7;15;26.7
202001011350;51.7;21.7;11.7;21.7
202001011400;41.7;25;6.7;20
202001011410;41.7;18.3;5;21.7
202001011420;38.3;13.3;5;21.7
202001011430;41.7;10;3.3;15
202001011440;30;8.3;1.7;11.7
202001011450;16.7;6.7;1.7;10
202001011500;10;3.3;0;6.7
202001011510;5;1.7;0;3.3
202001011520;3.3;1.7;0;3.3
202001011530;1.7;1.7;0;1.7
202001011540;0;0;0;0
202001011550;0;0;0;0
202001011600;0;0;0;0
202001011610;0;0;0;0
202001011620;0;0;0;0
202001011630;0;0;0;0
202001011640;0;0;0;0
202001011650;0;0;0;0
202001011700;0;0;0;0
202001011710;0;0;0;0
202001011720;0;0;0;0
202001011730;0;0;0;0
202001011740;0;0;0;0
202001011750;0;0;0;0
202001011800;0;0;0;0
202001011810;0;0;0;0
202001011820;0;0;0;0
202001011830;0;0;0;0
202001011840;0;0;0;0
202001011850;0;0;0;0
202001011900;0;0;0;0
202001011910;0;0;0;0
202001011920;0;0;0;0
202001011930;0;0;0;0
202001011940;0;0;0;0
202001011950;0;0;0;0
202001012000;0;0;0;0
202001012010;0;0;0;0
202001012020;0;0;0;0
202001012030;0;0;0;0
202001012040;0;0;0;0
202001012050;0;0;0;0
202001012100;0;0;0;0
202001012110;0;0;0;0
202001012120;0;0;0;0
202001012130;0;0;0;0
202001012140;0;0;0;0
202001012150;0;0;0;0
202001012200;0;0;0;0
202001012210;0;0;0;0
202001012220;0;0;0;0
202001012230;0;0;0;0
202001012240;0;0;0;0
202001012250;0;0;0;0
202001012300;0;0;0;0
202001012310;0;0;0;0
202001012320;0;0;0;0
202001012330;0;0;0;0
202001012340;0;0;0;0
202001012350;0;0;0;0
202001020000;0;0;0;0
202001020010;0;0;0;0
202001020020;0;0;0;0
202001020030;0;0;0;0
202001020040;0;0;0;0
202001020050;0;0;0;0
202001020100;0;0;0;0
202001020110;0;0;0;0
202001020120;0;0;0;0
202001020130;0;0;0;0
202001020140;0;0;0;0
202001020150;0;0;0;0
202001020200;0;0;0;0
202001020210;0;0;0;0
202001020220;0;0;0;0
202001020230;0;0;0;0
202001020240;0;0;0;0
202001020250;0;0;0;0
202001020300;0;0;0;0
202001020310;0;0;0;0
202001020320;0;0;0;0
202001020330;0;0;0;0
202001020340;0;0;0;0
202001020350;0;0;0;0
