Datum;Last;Erzeugung;Biomasse;Wasserkraft;Wind_Offshore;Wind_Onshore;Photovoltaik;Sonstige_Erneuerbare;Kernenergie;Kohle;Erdgas;Speicher;Sonstige_Konventionelle
1.1.21 0:00;282.716;125.523;4.512;0.007;0.000;2.776;0.000;4.721;0.000;76.219;32.126;0.000;5.163
1.1.21 0:15;274.471;124.590;4.500;0.007;0.000;2.694;0.000;4.721;0.000;75.046;32.447;0.000;5.175
1.1.21 0:30;272.821;123.566;4.496;0.006;0.000;2.504;0.000;4.721;0.000;74.172;32.516;0.000;5.150
1.1.21 0:45;269.369;122.768;4.496;0.006;0.000;2.427;0.000;4.721;0.000;73.636;32.355;0.000;5.126
1.1.21 1:00;266.685;121.476;4.489;0.007;0.000;2.441;0.000;4.721;0.000;73.437;31.232;0.000;5.150
1.1.21 1:15;264.447;120.261;4.485;0.006;0.000;2.385;0.000;4.721;0.000;72.662;30.889;0.000;5.114
1.1.21 1:30;262.675;119.922;4.489;0.006;0.000;2.303;0.000;4.721;0.000;72.364;30.889;0.000;5.150
1.1.21 1:45;259.553;120.173;4.496;0.006;0.000;2.234;0.000;4.721;0.000;72.583;30.957;0.000;5.175
1.1.21 2:00;271.311;120.388;4.489;0.006;0.000;2.197;0.000;4.721;0.000;73.199;30.614;0.000;5.163
1.1.21 2:15;269.583;120.101;4.489;0.006;0.000;2.163;0.000;4.721;0.000;73.119;30.453;0.000;5.150
1.1.21 2:30;271.216;121.063;4.489;0.006;0.000;2.113;0.000;4.721;0.000;74.132;30.476;0.000;5.126
1.1.21 2:45;261.302;120.654;4.481;0.006;0.000;2.036;0.000;4.721;0.000;74.132;30.201;0.000;5.077
1.1.21 3:00;254.008;120.517;4.477;0.007;0.000;1.973;0.000;4.721;0.000;74.609;29.605;0.000;5.126
1.1.21 3:15;266.994;120.725;4.469;0.006;0.000;1.877;0.000;4.721;0.000;74.947;29.628;0.000;5.077
1.1.21 3:30;265.724;121.378;4.477;0.006;0.000;1.785;0.000;4.721;0.000;75.901;29.399;0.000;5.089
1.1.21 3:45;261.244;121.281;4.477;0.006;0.000;1.737;0.000;4.721;0.000;76.378;28.849;0.000;5.114
