Datum;Last;Erzeugung
1.1.22 0:00;242.491;79.522
1.1.22 0:15;236.584;79.770
1.1.22 0:30;236.510;79.724
1.1.22 0:45;234.592;79.468
1.1.22 1:00;232.977;80.045
1.1.22 1:15;231.574;79.705
1.1.22 1:30;229.739;80.436
1.1.22 1:45;226.154;78.486
1.1.22 2:00;222.947;77.152
1.1.22 2:15;220.449;77.117
1.1.22 2:30;218.348;76.696
1.1.22 2:45;216.249;75.914
1.1.22 3:00;214.695;75.466
1.1.22 3:15;212.484;75.487
1.1.22 3:30;210.017;75.472
1.1.22 3:45;208.586;75.847
1.1.22 4:00;209.031;76.590
1.1.22 4:15;208.789;75.631
1.1.22 4:30;207.940;77.155
1.1.22 4:45;207.792;76.671
1.1.22 5:00;207.713;77.864
1.1.22 5:15;208.563;76.906
1.1.22 5:30;208.152;78.236
1.1.22 5:45;208.516;78.691
1.1.22 6:00;207.184;76.864
1.1.22 6:15;208.642;77.853
1.1.22 6:30;210.993;80.748
1.1.22 6:45;212.196;81.864
1.1.22 7:00;212.948;82.285
1.1.22 7:15;213.974;81.641
1.1.22 7:30;214.534;81.655
1.1.22 7:45;214.813;81.931
1.1.22 8:00;215.458;82.776
1.1.22 8:15;221.201;82.074
1.1.22 8:30;222.860;82.962
1.1.22 8:45;224.724;83.420
1.1.22 9:00;227.565;83.634
1.1.22 9:15;227.482;84.171
1.1.22 9:30;230.714;85.597
1.1.22 9:45;235.760;85.174
1.1.22 10:00;238.993;84.542
1.1.22 10:15;244.756;85.046
1.1.22 10:30;245.998;84.889
1.1.22 10:45;248.217;84.634
1.1.22 11:00;251.494;83.342
1.1.22 11:15;255.228;84.222
1.1.22 11:30;258.959;84.298
1.1.22 11:45;258.858;84.072
1.1.22 12:00;262.113;84.494
1.1.22 12:15;266.653;84.964
1.1.22 12:30;269.422;85.524
1.1.22 12:45;270.110;84.901
1.1.22 13:00;268.504;82.689
1.1.22 13:15;265.863;80.460
1.1.22 13:30;265.204;80.786
1.1.22 13:45;264.646;79.692
1.1.22 14:00;267.830;81.458
1.1.22 14:15;274.060;81.684
1.1.22 14:30;278.546;82.075
1.1.22 14:45;285.780;83.599
1.1.22 15:00;286.032;81.551
1.1.22 15:15;291.653;79.847
1.1.22 15:30;274.055;77.510
1.1.22 15:45;282.734;77.954
1.1.22 16:00;297.860;81.653
1.1.22 16:15;299.351;81.771
1.1.22 16:30;297.621;81.435
1.1.22 16:45;282.929;81.991
1.1.22 17:00;295.954;80.849
1.1.22 17:15;304.718;80.245
1.1.22 17:30;303.738;80.058
1.1.22 17:45;301.655;80.214
1.1.22 18:00;293.098;84.282
1.1.22 18:15;307.613;83.874
1.1.22 18:30;306.620;83.778
1.1.22 18:45;298.715;84.089
1.1.22 19:00;292.915;84.085
1.1.22 19:15;290.948;82.273
1.1.22 19:30;301.583;82.192
1.1.22 19:45;301.270;82.234
1.1.22 20:00;279.512;82.522
1.1.22 20:15;284.001;83.063
1.1.22 20:30;289.061;83.743
1.1.22 20:45;289.595;82.555
1.1.22 21:00;280.593;83.352
1.1.22 21:15;272.595;84.869
1.1.22 21:30;278.602;85.048
1.1.22 21:45;282.312;84.680
1.1.22 22:00;274.311;83.490
1.1.22 22:15;266.800;82.928
1.1.22 22:30;271.327;78.999
1.1.22 22:45;277.109;78.504
1.1.22 23:00;258.964;77.407
1.1.22 23:15;248.144;77.972
1.1.22 23:30;256.473;77.096
1.1.22 23:45;265.313;77.919
2.1.22 0:00;260.591;74.517
2.1.22 0:15;239.757;70.844
2.1.22 0:30;241.792;70.196
2.1.22 0:45;256.854;68.153
2.1.22 1:00;256.384;68.084
2.1.22 1:15;233.041;68.556
2.1.22 1:30;240.694;68.885
2.1.22 1:45;234.956;68.349
2.1.22 2:00;243.945;67.974
2.1.22 2:15;216.133;68.692
2.1.22 2:30;232.264;69.182
2.1.22 2:45;227.845;69.944
2.1.22 3:00;236.900;69.099
2.1.22 3:15;221.519;70.533
2.1.22 3:30;215.418;71.442
2.1.22 3:45;230.699;71.986
2.1.22 4:00;235.466;70.776
2.1.22 4:15;224.016;70.409
2.1.22 4:30;219.681;70.371
2.1.22 4:45;228.820;70.476
2.1.22 5:00;238.081;74.072
2.1.22 5:15;230.764;73.871
2.1.22 5:30;225.507;74.872
2.1.22 5:45;244.220;75.325
2.1.22 6:00;240.183;73.670
2.1.22 6:15;225.851;74.882
2.1.22 6:30;234.400;77.512
