Datum;Last;Erzeugung;Biomasse;Wasserkraft;Wind_Offshore;Wind_Onshore;Photovoltaik;Sonstige_Erneuerbare;Kernenergie;Kohle;Erdgas;Speicher;Sonstige_Konventionelle
01.01.2021 00:00;481.431;723.843;7.373;0.123;22.236;134.4;0;98.901;352.289;39.127;51.173;0.161;18.06
01.01.2021 00:15;479.955;720.984;7.354;0.12;23.021;130.432;0;98.901;352.635;38.525;51.684;0.209;18.103
01.01.2021 00:30;471.607;714.882;7.347;0.12;26.422;121.216;0;98.901;352.808;38.077;51.794;0.18;18.017
01.01.2021 00:45;464.737;712.853;7.347;0.119;28.514;117.504;0;98.901;352.982;37.801;51.538;0.216;17.931
01.01.2021 01:00;458.454;710.956;7.334;0.124;27.73;118.144;0;98.901;352.982;37.699;49.75;0.275;18.017
01.01.2021 01:15;450.124;706.166;7.328;0.119;26.945;115.456;0;98.901;352.808;37.301;49.202;0.218;17.888
01.01.2021 01:30;441.694;700.244;7.334;0.118;24.852;111.488;0;98.901;352.982;37.148;49.202;0.202;18.017
01.01.2021 01:45;435.219;696.166;7.347;0.118;23.806;108.16;0;98.901;352.982;37.261;49.312;0.176;18.103
01.01.2021 02:00;430.165;691.586;7.334;0.118;20.928;106.368;0;98.901;353.155;37.577;48.764;0.381;18.06
01.01.2021 02:15;423.366;688.56;7.334;0.116;19.882;104.704;0;98.901;353.328;37.536;48.509;0.233;18.017
01.01.2021 02:30;417.148;685.662;7.334;0.117;19.097;102.272;0;98.901;353.328;38.056;48.545;0.081;17.931
01.01.2021 02:45;411.296;681.758;7.322;0.116;19.882;98.56;0;98.901;352.982;38.056;48.107;0.073;17.759
01.01.2021 03:00;410.068;678.003;7.315;0.122;20.143;95.488;0;98.901;352.635;38.301;47.158;0.009;17.931
01.01.2021 03:15;406.844;674.363;7.302;0.117;20.405;90.88;0;98.901;353.328;38.474;47.195;0.002;17.759
01.01.2021 03:30;405.731;670.676;7.315;0.117;21.19;86.4;0;98.901;353.155;38.964;46.83;0.002;17.802
01.01.2021 03:45;403.482;668.61;7.315;0.116;21.974;84.096;0;98.901;353.155;39.209;45.954;0.002;17.888
01.01.2021 04:00;404.954;666.353;7.315;0.116;20.143;83.072;0;100.636;353.155;38.74;45.589;0;17.587
01.01.2021 04:15;404.026;662.913;7.322;0.116;19.62;80.384;0;100.636;353.155;38.434;45.698;0.004;17.544
01.01.2021 04:30;406.369;660.801;7.309;0.115;19.097;78.72;0;100.636;352.635;38.454;45.771;0.004;18.06
01.01.2021 04:45;406.83;658.543;7.309;0.115;18.835;76.928;0;100.636;352.808;38.495;45.224;0.004;18.189
01.01.2021 05:00;414.431;660.736;7.334;0.115;22.759;73.856;0;100.636;353.155;38.842;45.808;0.042;18.189
01.01.2021 05:15;415.877;660.452;7.366;0.115;26.945;69.376;0;100.636;352.635;39.015;46.282;0.022;18.06
01.01.2021 05:30;418.709;662.731;7.347;0.114;30.869;67.2;0;100.636;352.635;39.566;46.209;0.009;18.146
01.01.2021 05:45;416.762;662.057;7.328;0.114;32.7;63.616;0;100.636;353.155;40.035;46.282;0.002;18.189
01.01.2021 06:00;418.33;666.681;7.392;0.115;34.531;65.024;0;100.636;353.155;40.78;46.684;0.046;18.318
01.01.2021 06:15;418.068;667.234;7.411;0.116;36.101;64.256;0;100.636;353.155;40.8;46.611;0.002;18.146
01.01.2021 06:30;422.386;665.351;7.405;0.116;33.746;65.024;0;100.636;353.155;40.596;46.428;0.013;18.232
01.01.2021 06:45;422.776;658.197;7.418;0.117;29.038;63.232;0;100.636;353.155;39.892;46.209;0.139;18.361
01.01.2021 07:00;422.796;654.417;7.482;0.116;27.468;61.184;0;100.636;352.982;39.127;46.793;0.268;18.361
01.01.2021 07:15;422.93;655.725;7.514;0.116;26.16;63.488;0;100.636;352.982;39.097;46.939;0.561;18.232
01.01.2021 07:30;429.773;655.771;7.526;0.116;25.114;64.128;0;100.636;352.982;39.403;46.939;0.609;18.318
01.01.2021 07:45;436.907;655.252;7.52;0.116;23.282;64;0;100.636;353.155;39.719;48.034;0.601;18.189
01.01.2021 08:00;444.813;660.051;7.597;0.115;25.114;65.152;0.199;100.636;353.155;39.821;50.115;0.044;18.103
01.01.2021 08:15;451.595;660.999;7.622;0.114;24.59;66.176;0.695;100.636;353.155;39.596;50.297;0.015;18.103
01.01.2021 08:30;456.964;663.058;7.642;0.114;22.759;68.224;1.787;100.636;353.328;39.545;50.808;0.026;18.189
01.01.2021 08:45;462.758;664.471;7.648;0.118;21.713;67.712;3.773;100.636;353.155;39.392;52.086;0.092;18.146
01.01.2021 09:00;469.936;666.856;7.597;0.114;17.789;69.504;6.455;100.636;353.328;39.046;54.239;0.002;18.146
01.01.2021 09:15;479.063;667.131;7.603;0.115;14.911;69.248;9.4;100.636;353.328;38.954;54.677;0.07;18.189
01.01.2021 09:30;490.186;669.089;7.661;0.118;14.388;67.2;12.942;100.636;353.328;39.066;55.517;0.044;18.189
01.01.2021 09:45;500.051;675.791;7.642;0.118;18.312;65.92;16.351;100.636;353.501;38.556;56.502;0.064;18.189
01.01.2021 10:00;511.72;688.086;7.642;0.115;25.637;65.408;19.893;100.636;353.501;38.056;58.838;0.042;18.318
01.01.2021 10:15;522.458;692.902;7.667;0.116;29.822;62.592;23.203;100.636;353.501;37.862;59.057;0.042;18.404
01.01.2021 10:30;532.376;692.958;7.661;0.116;30.346;59.52;26.48;100.636;353.328;36.822;59.678;0.053;18.318
01.01.2021 10:45;538.421;695.994;7.686;0.116;31.13;58.368;29.327;100.636;353.328;36.863;60.262;0.132;18.146
01.01.2021 11:00;550.845;698.421;7.68;0.116;31.915;56.448;31.942;100.636;353.674;36.842;61.028;0.037;18.103
01.01.2021 11:15;562.757;703.014;7.667;0.116;33.746;54.144;34.259;100.636;353.501;36.74;64.131;0.057;18.017
01.01.2021 11:30;571.695;710.178;7.686;0.117;39.502;49.92;36.278;100.636;353.328;36.781;67.744;0.04;18.146
01.01.2021 11:45;575.131;709.334;7.661;0.116;40.548;47.872;37.8;100.636;353.155;35.537;67.89;0.059;18.06
01.01.2021 12:00;580.993;709.602;7.584;0.117;40.548;46.08;39.621;100.636;352.982;35.68;67.744;0.249;18.361
01.01.2021 12:15;580.58;708.664;7.571;0.116;42.118;42.88;40.415;100.636;352.982;35.802;67.744;0.211;18.189
01.01.2021 12:30;590.16;711.296;7.59;0.117;45.78;41.088;40.349;100.636;353.155;35.955;68.219;0.218;18.189
01.01.2021 12:45;594.341;708.981;7.59;0.118;46.826;39.168;39.422;100.636;352.982;35.945;68.073;0.161;18.06
01.01.2021 13:00;592.5;708.188;7.546;0.117;50.227;37.12;37.833;100.636;353.155;35.924;67.452;0.161;18.017
01.01.2021 13:15;590.578;709.689;7.494;0.117;53.105;37.12;36.311;100.636;353.155;35.782;67.452;0.156;18.361
