Windgeschwindigkeit;Nordex;Vestas;Senvion;GE;Gamesa;Enercon
0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;22.5
3;15.0;0.0;77.6;54.0;61.0;105.0
4;184.0;100.0;244.3;234.0;188.0;261.0
5;443.0;650.0;501.8;497.0;434.0;522.0
6;805.0;1150.0;906.6;880.0;823.0;921.0
7;1298.0;1850.0;1437.8;1407.0;1355.0;1472.0
8;1946.0;2900.0;2101.4;2060.0;2037.0;2152.0
9;2727.0;4150.0;2868.0;2709.0;2843.0;2866.0
10;3327.0;5600.0;3289.0;3156.0;3667.0;3480.0
11;3580.0;7100.0;3400.0;3368.0;4337.0;3902.0
12;3600.0;7800.0;3400.0;3421.0;4742.0;4120.0
13;3600.0;8000.0;3400.0;3430.0;4921.0;4197.0
14;3600.0;8000.0;3400.0;3430.0;4980.0;4200.0
15;3600.0;8000.0;3400.0;3430.0;4996.0;4200.0
16;3600.0;8000.0;3400.0;3430.0;4999.0;4200.0
17;3600.0;8000.0;3400.0;3430.0;4996.0;4200.0
18;3600.0;8000.0;3400.0;3430.0;4979.0;4200.0
19;3600.0;8000.0;3400.0;3430.0;4931.0;4200.0
20;3600.0;8000.0;3400.0;3430.0;4833.0;4200.0
21;0.0;8000.0;3400.0;3430.0;4678.0;4200.0
22;0.0;8000.0;3400.0;3430.0;4477.0;4200.0
23;0.0;8000.0;0.0;3430.0;4247.0;4200.0
24;0.0;8000.0;0.0;3430.0;4006.0;4200.0
25;0.0;8000.0;0.0;3430.0;3763.0;4200.0
26;0.0;0.0;0.0;0.0;3528.0;0.0
27;0.0;0.0;0.0;0.0;0.0;0.0
28;0.0;0.0;0.0;0.0;0.0;0.0
29;0.0;0.0;0.0;0.0;0.0;0.0
30;0.0;0.0;0.0;0.0;0.0;0.0
31;0.0;0.0;0.0;0.0;0.0;0.0
32;0.0;0.0;0.0;0.0;0.0;0.0
33;0.0;0.0;0.0;0.0;0.0;0.0
34;0.0;0.0;0.0;0.0;0.0;0.0
35;0.0;0.0;0.0;0.0;0.0;0.0
36;0.0;0.0;0.0;0.0;0.0;0.0
37;0.0;0.0;0.0;0.0;0.0;0.0
38;0.0;0.0;0.0;0.0;0.0;0.0
39;0.0;0.0;0.0;0.0;0.0;0.0
40;0.0;0.0;0.0;0.0;0.0;0.0
41;0.0;0.0;0.0;0.0;0.0;0.0
42;0.0;0.0;0.0;0.0;0.0;0.0
